url,category_code,category_description,date_added,source,notes,
http://4genderjustice.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
http://666games.net/,GAME,Gaming,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
http://8thstreetlatinas.com/,PORN,Pornography,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
http://abpr2.railfan.net/,MMED,Media sharing,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
https://addons.mozilla.org/,FILE,File-sharing,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
http://adium.im/,GRP,Social Networking,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
http://adultfriendfinder.com/,DATE,Online Dating,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
http://advocacy.globalvoicesonline.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
http://alt.com/,PORN,Pornography,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
http://amphetamines.com/,ALDR,Alcohol & Drugs,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
http://amygoodloe.com/lesbian-dot-org/,LGBT,LGBT,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
http://anon.inf.tu-dresden.de/,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
http://anonnews.org/,HACK,Hacking Tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
http://anonym.to/,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
http://anonymizer.secuser.com/,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
http://anonymouse.org/,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
https://archive.org/,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
https://archive.org/web/,MMED,Media sharing,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
https://archiveofourown.org/,CULTR,Culture,2017-10-25,sinarproject,,
https://asiatimes.com/,NEWS,News Media,2014-04-15,citizenlab,Updated on 2022-02-27,
https://www.asstr.org/,CULTR,Culture,2019-10-17,sinarproject,erotic fiction,
http://astalavista.box.sk/,HACK,Hacking Tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
http://attrition.org/,HACK,Hacking Tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
http://avaaz.org/,NEWS,News Media,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
https://autistici.org/,HOST,Hosting and Blogging Platforms,2017-08-08,samba,created by smb,
https://noblogs.org/,HOST,Hosting and Blogging Platforms,2017-08-08,samba,created by smb,
https://bebo.com/,GRP,Social Networking,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
http://beeg.com/,PORN,Pornography,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
http://beyondexgay.com/,LGBT,LGBT,2014-04-15,citizenlab,Updated on 2022-02-21,
https://bisexual.org/,LGBT,LGBT,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
https://bitcoin.org/,COMM,E-commerce,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
http://bitcoin.sipa.be/,COMM,E-commerce,2018-11-15,blockchain,Initial tracking of cryptocurrencies on 2018-11-15. This domain is hardcoded in the bitcoin source code as an addressed used to bootstrap.,
http://www.bittornado.com/,FILE,File-sharing,2014-04-15,citizenlab,Updated on 2022-02-21,
https://www.blackberry.com/,MMED,Media sharing,2014-04-15,citizenlab,Updated on 2021-10-31,
http://blog.com/,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
http://blogmarks.net/,GRP,Social Networking,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
http://blogspot.com/,NEWS,News Media,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
https://www.blueskyswimwear.com/,PROV,Provocative Attire,2014-04-15,citizenlab,Updated on 2022-02-21,
https://www.bnaibrith.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated on 2022-02-21,
https://boingboing.net/,NEWS,News Media,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
https://bouncer.ooni.io/,HUMR,Human Rights Issues,2017-02-17,OONI,,
https://www.bravoporn.com/,PORN,Pornography,2014-04-15,citizenlab,Updated on 2022-02-21,
https://bridges.torproject.org/,ANON,Anonymization and circumvention tools,2017-05-31,ADEF,blocked in Egypt as of 2017-05-27,
http://btggaming.com/,GMB,Gambling,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
https://btguard.com/,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
http://cannabis.com/,ALDR,Alcohol & Drugs,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
https://www.care.org/,ECON,Economics,2014-04-15,citizenlab,Updated on 2022-02-21,
http://carnegieendowment.org/,POLR,Political Criticism,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
http://cartercenter.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
https://www.casino.com/,GMB,Gambling,2014-04-15,citizenlab,Updated on 2022-02-21,
https://www.ccc.de/,HACK,Hacking Tools,2014-04-15,citizenlab,Updated on 2022-02-21,
http://ccrjustice.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
https://cdt.org/,NEWS,News Media,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
https://censorship.no/,ANON,Anonymization and circumvention tools,2021-09-02,equalitie,,
https://www.chinadaily.com.cn/,NEWS,News Media,2014-04-15,citizenlab,Updated on 2022-02-21,
http://christwire.org/,CULTR,Culture,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
https://cites.org/,ENV,Environment,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
https://citizenlab.ca/,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by citizenlab on 2017-11-09,
http://cocaine.org/,ALDR,Alcohol & Drugs,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
https://www.common-fund.org/,ECON,Economics,2014-04-15,citizenlab,Updated on 2022-02-21,
http://company.wizards.com/,GAME,Gaming,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
http://craigslist.org/,GRP,Social Networking,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
http://creativecommons.org/,NEWS,News Media,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
https://cryptome.org/,NEWS,News Media,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
http://cultdeadcow.com/,HACK,Hacking Tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
https://cyber.harvard.edu/,NEWS,News Media,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
https://dashjr.org/,COMM,E-commerce,2018-11-15,blockchain,Initial tracking of cryptocurrencies on 2018-11-15. This domain is hardcoded in the bitcoin source code as an addressed used to bootstrap.,
http://ddo.com/,GAME,Gaming,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
http://debate.org.uk/,REL,Religion,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
https://defcon.org/,HACK,Hacking Tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
http://delicious.com/,MMED,Media sharing,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
https://www.dextroverse.org/,ALDR,Alcohol & Drugs,2014-04-15,citizenlab,Updated on 2022-02-21,
https://www.dictionary.com/,COMT,Communication Tools,2014-04-15,citizenlab,Updated on 2022-02-25,
https://digg.com/,GRP,Social Networking,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
https://docs.google.com/,FILE,File-sharing,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
http://download.cnet.com/freegate/3000-2085_4-10415391.html,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
http://drugs-forum.com/,ALDR,Alcohol & Drugs,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
https://duckduckgo.com/,SRCH,Search Engines,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
http://earth-liberation-front.org/,ENV,Environment,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
https://www.ebuddy.com/,GRP,Social Networking,2014-04-15,citizenlab,Updated on 2022-02-21,
http://ecstasy.org/,ALDR,Alcohol & Drugs,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
https://www.emailaddresses.com/,COMT,Communication Tools,2014-04-15,citizenlab,Updated on 2022-02-21,
https://emchurch.org/,REL,Religion,2014-04-15,citizenlab,Updated on 2022-02-21,
http://en-ville.orange.fr/,COMT,Communication Tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
https://epic.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
https://evernote.com/,MMED,Media sharing,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
https://www.exitinternational.net/,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated on 2022-02-21,
https://explorer.ooni.io/,HUMR,Human Rights Issues,2017-05-31,ADEF,probably blocked in Egypt as of 2017-05-31,
http://exscn.net/,REL,Religion,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
https://www.fanfiction.net/,CULTR,Culture,2017-10-12,sinarproject,,
http://feministing.com/,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
https://forum.grasscity.com/,ALDR,Alcohol & Drugs,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
https://foursquare.com/,GRP,Social Networking,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
https://freedns.afraid.org/,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
https://freedomhouse.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
http://freemuse.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
https://freenetproject.org/,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
https://friends.walla.co.il/login,COMT,Communication Tools,2014-04-15,citizenlab,Updated 2022-02-21,
